Marcas,Audi,BMW,Chery,Chevrolet,DFM,Dodge,Fiat,Ford,Foton,Great Wall,Honda,Hyundai,Kia,MG,Mahindra,Mazda,Mercedes-Benz,Mitsubishi,Nissan,Peugeot,Renault,Subaru,Suzuki,Toyota,Volkswagen,Varios,BYD,Cadillac,Changan,Citroen,Daihatsu,Dongfeng,Geely,GMC,Haval,Isuzu,JAC,Jeep,Land Rover,Lexus,Maruti,MINI,Opel,Ram,SEAT,Skoda,Volvo
Modelo,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Varios,Han,ATS,CS35,C3,Charade,D90,Coolray,Acadia,F7,D-Max,E10X,Cherokee,Discovery,CT,Alto,Cooper,Astra,1500,Arona,Fabia,C30
Modelo,A1,1 Series,Arrizo,Aveo,370,Challenger,124 Spider,Bronco,Auman,C30,Accord,Accent,Cadenza,3,Bolero,2,A-Class,ASX,Altima,106,Alaskan,Ascent,Alto,4Runner,Amarok,,Dolphin,CT4,CS55,C4,Mira,Fengshen,Emgrand,Canyon,H2,MU-X,J3,Compass,Discovery Sport,ES,Baleno,Cooper S,Corsa,2500,Ateca,Kamiq,C40
Modelo,A3,2 Series,Fulwin,Blazer,580,Charger,500,EcoSport,Aumark,C50,BR-V,Accent 2023,Carnival,350,KUV100,3,AMG GT,Canter,Armada,108,Captur,BRZ,APV,86,Atlas,,E6,CT5,CS75,C4 Cactus,Rocky,Fengshen AX7,Geometry A,Hummer,H4,NPR,J4,Gladiator,Evoque,GS,Celerio,Countryman,Crossland,3500,Ibiza,Karoq,C60
Modelo,A4,3 Series,QQ,Camaro,AX7,Dart,500L,Edge,Gratour,Coolbear,Civic,Bayon,Cerato,5,Pik Up,323,B-Class,Diamante,Frontier,2008,Clio,Crosstrek,Baleno,Alphard,Arteon,,Han,Escalade,CS85,C5,Sirion,Glory,Geometry C,Sierra,H5,NKR,J5,Grand Cherokee,Freelander,IS,Ciaz,Clubman,Grandland,4500,Leon,Kodiaq,C70
Modelo,A5,4 Series,Tiggo,Camaro 2023,DFA,Durango,500X,Escape,Sauvana,Deer,City,Elantra,Forte,6,Scorpio,5,C-Class,Eclipse Cross,GT-R,206,Duster,Forester,Celerio,Avalon,Beetle,,Qin,XT4,CS95,C5 X,Terios,Rich 6,Icon,Terrain,H6,NLR,J7,Patriot,Range Rover,LC,Dzire,Convertible,Insignia,ProMaster,Tarraco,Octavia,S40
Modelo,A6,5 Series,Tiggo 2,Captiva,DFM Mini,Journey,Argo,Expedition,Toano,H3,CR-V,Genesis,K5,GS,Thar,6,CLA,Endeavor,Juke,207,Fluence,Impreza,Ciaz,Camry,Bora,,Seal,XT5,Eado,C6,Xenia,Rich 8,NL-3,Yukon,H7,NPR,S2,Renegade,Range Rover Sport,LS,Ertiga,Electric,Karl,Rebel,Toledo,Rapid,S60
Modelo,A7,6 Series,Tiggo 3,Captiva 2.2,Dongfeng,Magnum,Bravo,F-150,Tunland,H5,Element,Grand i10,K7,GS6,XUV300,626,CLS,Evolution,Kicks,208,Kadjar,Legacy,Dzire,C-HR,Caddy,,Song,XT6,Hunter,Jumper,YRV,S50,Panda,,H8,NKR,S3,Wagoneer,Range Rover Velar,LX,Ignis,JCW,Mokka,TRX,,Roomster,S70
Modelo,A8,7 Series,Tiggo 4,Cavalier,,Neon,Cronos,Fiesta,,H6,Fit,i10,K8,GS8,XUV500,929,E-Class,Expander,Leaf,2008,Kangoo,Levorg,Ertiga,Celica,California,,Tang,,Linmax,Jumpy,,T5,Preface,,H9,NPS,S5,Wrangler,,NX,S-Cross,One,Vectra,,,Scout,S80
Modelo,e-tron,8 Series,Tiggo 5,Cheyenne,,Nitro,Doblo,Focus,,Hover,HR-V,i20,K9,Marvel R,XUV700,Atenza,EQA,FTO,Maxima,3008,Koleos,Outback,Grand Vitara,Century,CC,,Yuan,,Raeton,SpaceTourer,,T7,SC7,,HB01,NQR,S7,,,RC,S-Presso,Paceman,Zafira,,,Superb,S90
